0,1,2,3,4,5,6
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,med,low,good
med,med,4,more,big,low,good
med,vhigh,4,more,med,low,good
med,vhigh,4,more,med,low,good
med,med,4,more,med,low,good
